name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,platform_group,Rating_sem,total_sales
WII SPORTS,Wii,2006,Sports,41.36,28.96,3.77,8.45,76.0,80.0,E,Nintendo,Everyone,82.53999999999999
SUPER MARIO BROS,NES,1985,Platform,29.08,3.58,6.81,0.77,,,,Nintendo,Pending,40.24
MARIO KART WII,Wii,2008,Racing,15.68,12.76,3.79,3.29,82.0,83.0,E,Nintendo,Everyone,35.519999999999996
WII SPORTS RESORT,Wii,2009,Sports,15.61,10.93,3.28,2.95,80.0,80.0,E,Nintendo,Everyone,32.77
POKEMON RED/POKEMON BLUE,GB,1996,Role-Playing,11.27,8.89,10.22,1.0,,,,Nintendo,Pending,31.380000000000003
TETRIS,GB,1989,Puzzle,23.2,2.26,4.22,0.58,,,,Nintendo,Pending,30.259999999999998
NEW SUPER MARIO BROS,DS,2006,Platform,11.28,9.14,6.5,2.88,89.0,85.0,E,Nintendo,Everyone,29.8
WII PLAY,Wii,2006,Misc,13.96,9.18,2.93,2.84,58.0,66.0,E,Nintendo,Everyone,28.91
NEW SUPER MARIO BROS WII,Wii,2009,Platform,14.44,6.94,4.7,2.24,87.0,84.0,E,Nintendo,Everyone,28.32
DUCK HUNT,NES,1984,Shooter,26.93,0.63,0.28,0.47,,,,Nintendo,Pending,28.31
NINTENDOGS,DS,2005,Simulation,9.05,10.95,1.93,2.74,,,,Nintendo,Pending,24.67
MARIO KART DS,DS,2005,Racing,9.71,7.47,4.13,1.9,91.0,86.0,E,Nintendo,Everyone,23.209999999999997
POKEMON GOLD/POKEMON SILVER,GB,1999,Role-Playing,9.0,6.18,7.2,0.71,,,,Nintendo,Pending,23.09
WII FIT,Wii,2007,Sports,8.92,8.03,3.6,2.15,80.0,77.0,E,Nintendo,Everyone,22.7
KINECT ADVENTURES!,X360,2010,Misc,15.0,4.89,0.24,1.69,61.0,63.0,E,Xbox,Everyone,21.82
WII FIT PLUS,Wii,2009,Sports,9.01,8.49,2.53,1.77,80.0,74.0,E,Nintendo,Everyone,21.8
GRAND THEFT AUTO V,PS3,2013,Action,7.02,9.09,0.98,3.96,97.0,82.0,M,PlayStation,Mature,21.05
GRAND THEFT AUTO SAN ANDREAS,PS2,2004,Action,9.43,0.4,0.41,10.57,95.0,90.0,M,PlayStation,Mature,20.810000000000002
SUPER MARIO WORLD,SNES,1990,Platform,12.78,3.75,3.54,0.55,,,,Nintendo,Pending,20.62
BRAIN AGE TRAIN YOUR BRAIN IN MINUTES A DAY,DS,2005,Misc,4.74,9.2,4.16,2.04,77.0,79.0,E,Nintendo,Everyone,20.14
POKEMON DIAMOND/POKEMON PEARL,DS,2006,Role-Playing,6.38,4.46,6.04,1.36,,,,Nintendo,Pending,18.24
SUPER MARIO LAND,GB,1989,Platform,10.83,2.71,4.18,0.42,,,,Nintendo,Pending,18.14
